TRUE_TIME,MEANGAM,MEANGBZ
2000-01-01,6.5995,4.8499
2000-01-02,7.5125,4.6377
2000-01-03,7.7818,5.4635
2000-01-04,7.4596,5.9402
2000-01-06,7.0705,6.0448
2000-01-07,7.8962,5.6423
2000-01-08,7.3588,6.4897
2000-01-09,7.1424,7.826
2000-01-11,8.2897,5.7902
2000-01-12,7.7764,7.7014
2000-01-13,8.2265,7.0749
2000-01-14,8.0957,7.1474
2000-01-16,8.4763,7.3416
2000-01-17,8.4692,6.4385
2000-01-18,8.516,7.4895
2000-01-20,8.4873,9.4351
2000-01-21,8.249,7.9983
2000-01-22,9.0522,8.2363
2000-01-23,9.2936,7.8794
2000-01-25,8.5896,8.2714
2000-01-26,8.8532,8.2188
2000-01-27,8.8744,8.5956
2000-01-28,8.9634,8.2833
2000-01-30,8.4748,8.4143
2000-01-31,9.2171,8.8389
2000-02-01,8.9338,9.4671
2000-02-03,9.815,8.1225
2000-02-04,9.776,8.3476
2000-02-05,8.9841,8.6528
2000-02-06,9.0718,8.127
2000-02-08,9.5031,8.7103
2000-02-09,9.1659,9.7004
2000-02-10,9.5792,9.4844
2000-02-11,8.8584,9.4755
2000-02-13,9.3495,9.4326
2000-02-14,9.529,7.8061
2000-02-15,9.1783,10.0123
2000-02-16,9.2455,8.5439
2000-02-18,9.4975,9.312
2000-02-19,9.598,7.7216
2000-02-20,9.3961,8.6737
2000-02-22,9.034,9.0097
2000-02-23,9.1548,9.3197
2000-02-24,8.9851,9.1191
2000-02-25,9.1732,9.0284
2000-02-27,9.1673,7.368
2000-02-28,8.0249,8.7872
2000-02-29,9.5508,9.2679
2000-03-01,8.7459,9.2209
2000-03-03,8.5283,10.4719
2000-03-04,8.9339,9.0449
2000-03-05,8.6618,8.2818
2000-03-07,8.8462,8.5308
2000-03-08,8.6399,8.7377
2000-03-09,9.0264,7.8134
2000-03-10,9.211,8.683
2000-03-12,7.4743,8.3511
2000-03-13,8.7058,9.1807
2000-03-14,8.5965,9.2755
2000-03-15,8.3066,9.0165
2000-03-17,8.5085,8.6387
2000-03-18,8.5025,9.2448
2000-03-19,9.142,8.0202
2000-03-21,8.1292,7.5304
2000-03-22,8.3431,6.527
2000-03-23,8.6308,7.9858
2000-03-24,8.5037,9.2314
2000-03-26,7.9375,9.3172
2000-03-27,9.3427,8.5952
2000-03-28,8.0443,7.6104
2000-03-29,7.6866,8.3943
2000-03-31,7.6445,7.6011
2000-04-01,8.7424,8.4615
2000-04-02,7.7272,7.0243
2000-04-03,8.7551,7.3646
2000-04-05,8.1374,8.7195
2000-04-06,8.0803,7.2325
2000-04-07,8.3651,7.2225
2000-04-09,8.0568,7.1982
2000-04-10,8.4743,8.1043
2000-04-11,8.5343,7.9887
2000-04-12,8.8597,8.0976
2000-04-14,8.4345,7.5117
2000-04-15,8.7007,8.3937
2000-04-16,7.7606,8.311
2000-04-17,7.6089,6.7344
2000-04-19,8.2277,7.3682
2000-04-20,7.9728,8.3942
2000-04-21,8.3388,7.4954
2000-04-23,8.4931,7.9084
2000-04-24,8.9477,8.2155
2000-04-25,9.1025,7.3922
2000-04-26,7.9635,6.9386
2000-04-28,7.7208,8.5131
2000-04-29,8.3922,7.7894
2000-04-30,8.866,7.6781
2000-05-01,8.8221,6.39
2000-05-03,8.3442,7.6179
2000-05-04,8.6827,7.1707
2000-05-05,8.1891,8.1643
2000-05-07,9.2525,9.1298
2000-05-08,9.0578,8.289
2000-05-09,8.4562,7.7795
2000-05-10,8.5353,9.4291
2000-05-12,8.959,7.5968
2000-05-13,9.7927,8.3993
2000-05-14,8.8555,8.2044
2000-05-15,9.0948,8.3989
2000-05-17,9.0183,8.9283
2000-05-18,9.0629,8.6991
2000-05-19,9.325,9.3943
2000-05-20,8.9992,10.1217
2000-05-22,9.4764,10.157
2000-05-23,9.4248,9.5124
2000-05-24,9.3771,10.0822
2000-05-26,10.2758,11.1228
2000-05-27,10.0922,8.9621
2000-05-28,9.1547,9.8892
2000-05-29,9.7466,10.3539
2000-05-31,9.8481,10.3639
2000-06-01,10.5769,9.8497
2000-06-02,10.6229,9.8036
2000-06-03,10.013,10.1326
2000-06-05,10.5977,10.004
2000-06-06,10.5428,11.0227
2000-06-07,10.2194,11.0407
2000-06-09,10.4817,10.8438
2000-06-10,10.8922,12.3375
2000-06-11,11.4441,11.09
2000-06-12,10.8747,11.9129
2000-06-14,11.1862,11.052
2000-06-15,10.6636,11.5506
2000-06-16,10.2487,11.2699
2000-06-17,10.0977,12.3807
2000-06-19,10.738,13.2269
2000-06-20,11.1046,9.4005
2000-06-21,10.0264,11.5934
2000-06-22,10.1952,13.4185
2000-06-24,11.1842,11.1752
2000-06-25,10.8554,11.3229
2000-06-26,10.7329,12.0856
2000-06-28,10.6298,11.6432
2000-06-29,10.9239,12.1435
